,0
0,SUZLON
1,IDEA
2,SUPRIYA
3,TTML
4,JPPOWER
5,HCLTECH
6,YESBANK
7,MAPMYINDIA
8,DATAPATTNS
9,RTNPOWER
10,ECLERX
11,HPAL
12,HINDUNILVR
13,INFY
14,ICICIBANK
15,RELIANCE
16,INDUSINDBK
17,TCS
18,SIGACHI
19,GREENPOWER
20,WIPRO
21,TRIDENT
22,POONAWALLA
23,HDFCBANK
24,PVR
25,DMART
26,TATAPOWER
27,NIITLTD
28,ZEEL
29,HCC
30,POWERGRID
31,TECHM
32,ZENSARTECH
33,LAURUSLABS
34,LATENTVIEW
35,KOTAKBANK
36,RBLBANK
37,SUNPHARMA
38,TATAMOTORS
39,TATASTEEL
40,TITAN
41,HDFCLIFE
42,BPCL
43,TEAMLEASE
44,RAIN
45,GTLINFRA
46,MTNL
47,GMRINFRA
48,IRCTC
49,IBULHSGFIN
50,FCSSOFT
51,SBIN
52,SAIL
53,AMIORG
54,KPITTECH
55,BCG
56,NURECA
57,BALKRISIND
58,HDFC
59,GLENMARK
60,TATAELXSI
61,BAJAJFINSV
62,BALRAMCHIN
63,CIPLA
64,SBICARD
65,HINDPETRO
66,BAJFINANCE
67,NATIONALUM
68,ASIANPAINT
69,RADICO
70,LXCHEM
71,BEL
72,IBREALEST
73,CUB
74,BHEL
75,ITC
76,VEDL
77,VOLTAS
78,ZOMATO
79,BOMDYEING
80,IDFC
81,APOLLOHOSP
82,TATACONSUM
83,ADANIENT
84,ESCORTS
85,ADANIPOWER
86,INVENTURE
87,SASTASUNDR
88,CANBK
89,PNB
90,LT
91,BANKBARODA
92,IEX
93,ADANIPORTS
94,RCOM
95,HINDCOPPER
96,PAYTM
97,AMARAJABAT
98,GRASIM
99,PEL
100,MEDPLUS
101,HFCL
102,BHARTIARTL
103,HAPPSTMNDS
104,KBCGLOBAL
105,NYKAA
106,MARUTI
107,IGL
108,MINDTREE
109,ASHOKLEY
110,GRAPHITE
111,DRREDDY
112,BAJAJ-AUTO
113,RPOWER
114,PATELENG
115,ULTRACEMCO
116,FSL
117,SRTRANSFIN
118,LUPIN
119,ABCAPITAL
120,KIMS
121,EXIDEIND
122,UNITECH
123,DLF
124,AUBANK
125,BORORENEW
126,INDIGO
127,JUBLFOOD
128,ONGC
129,ASTRAL
130,AUROPHARMA
131,BANDHANBNK
132,GOCOLORS
133,INDIAGLYCO
134,SINTEX
135,VAKRANGEE
136,L&TFH
137,M&M
138,RIIL
139,AXISBANK
140,BINDALAGRO
141,NMDC
142,ADSL
143,RATEGAIN
144,IRB
145,TORNTPHARM
146,WEBELSOLAR
147,RENUKA
148,GAIL
149,TANLA
150,PGEL
151,SITINET
152,IFCI
153,COALINDIA
154,UPL
155,CAMS
156,DIVISLAB
157,JSWSTEEL
158,ANGELONE
159,SHRIRAMPPS
160,IDFCFIRSTB
161,TEGA
162,KOPRAN
163,HEG
164,CARBORUNIV
165,BSOFT
166,PARAS
167,HCL-INSYS
168,SRF
169,SPARC
170,ABFRL
171,MAXHEALTH
172,MASTEK
173,METROPOLIS
174,STAR
175,HDFCAMC
176,INDIAMART
177,CLEAN
178,INTELLECT
179,CYBERTECH
180,IPCALAB
181,LICHSGFIN
182,BHARATRAS
183,JINDALSTEL
184,IOC
185,NTPC
186,NAUKRI
187,BASF
188,UNIONBANK
189,CEATLTD
190,TATVA
191,MCX
192,LODHA
193,LGBBROSLTD
194,BATAINDIA
195,CARTRADE
196,MPHASIS
197,INDIANB
198,JKCEMENT
199,63MOONS
200,BAJAJHIND
201,EICHERMOT
202,TATACHEM
203,GRANULES
204,APTECHT
205,GNFC
206,DABUR
207,RAJESHEXPO
208,DIXON
209,HEROMOTOCO
210,PRAJIND
211,TCI
212,TATACOMM
213,MINDAIND
214,VENUSREM
215,LTTS
216,AVADHSUGAR
217,SJVN
218,FORTIS
219,JUBLINDS
220,KNRCON
221,HINDALCO
222,JPASSOCIAT
223,TARSONS
224,NBCC
225,CYIENT
226,NAVINFLUOR
227,INDHOTEL
228,BCP
229,AFFLE
230,ALKEM
231,JPINFRATEC
232,LTI
233,CADILAHC
234,ABB
235,SJS
236,IDBI
237,SHRIRAMEPC
238,BEML
239,VTL
240,PHILIPCARB
241,WELCORP
242,MUTHOOTFIN
243,STARHEALTH
244,DEVYANI
245,GATI
246,FEDERALBNK
247,MOTHERSUMI
248,METROBRAND
249,SHIVAMILLS
250,RNAVAL
251,IIFL
252,HAVELLS
253,SBILIFE
254,SIEMENS
255,WOCKPHARMA
256,MANINFRA
257,MINDACORP
258,RESPONIND
259,M&MFIN
260,ABBOTINDIA
261,CCL
262,PILITA
263,PRAKASHSTL
264,EKC
265,COFORGE
266,WELSPUNIND
267,GLOBUSSPR
268,ICICIGI
269,KRSNAA
270,MAZDOCK
271,SONACOMS
272,SOBHA
273,NUCLEUS
274,FCL
275,NEOGEN
276,UBL
277,TATACOFFEE
278,DELTACORP
279,ANANDRATHI
280,SUNTECK
281,SPICEJET
282,GTL
283,TRIL
284,JUBLINGREA
285,BALAMINES
286,BIOCON
287,ELGIEQUIP
288,RECLTD
289,MONTECARLO
290,RELIGARE
291,NACLIND
292,MFSL
293,JISLJALEQS
294,LINDEINDIA
295,DATAMATICS
296,REDINGTON
297,TRIVENI
298,KPRMILL
299,SHYAMMETL
300,KABRAEXTRU
301,LAXMIMACH
302,VIKASLIFE
303,MGL
304,PIIND
305,SYNGENE
306,SPIC
307,ELECON
308,ARVIND
309,GODREJPROP
310,RTNINDIA
311,TV18BRDCST
312,MSPL
313,SUNTV
314,COMPUSOFT
315,NATCOPHARM
316,APOLLOTYRE
317,INDOWIND
318,IRFC
319,SMARTLINK
320,SHREECEM
321,VIKASWSP
322,CGPOWER
323,WHIRLPOOL
324,ENERGYDEV
325,FLUOROCHEM
326,LGBFORGE
327,DISHTV
328,ISMTLTD
329,BAJAJELEC
330,CENTURYTEX
331,INDUSTOWER
332,BARBEQUE
333,PERSISTENT
334,BERGEPAINT
335,NESTLEIND
336,PIDILITIND
337,JAGSNPHARM
338,ALLCARGO
339,SONATSOFTW
340,IOB
341,DAAWAT
342,COLPAL
343,TATAMTRDVR
344,NHPC
345,TVSMOTOR
346,JSL
347,GOODLUCK
348,MOREPENLAB
349,MRF
350,DWARKESH
351,INOXLEISUR
352,INDOTHAI
353,GOKEX
354,POKARNA
355,RAYMOND
356,NOCIL
357,BANKINDIA
358,INFIBEAM
359,GLAND
360,INDOSOLAR
361,ROUTE
362,PGHH
363,JINDALPOLY
364,JKPAPER
365,ANDHRSUGAR
366,POLICYBZR
367,RAMASTEEL
368,GODREJCP
369,SEQUENT
370,ISGEC
371,KILITCH
372,BRITANNIA
373,POLYCAB
374,DALBHARAT
375,SUNDARAM
376,ROLTA
377,LYKALABS
378,AARTIIND
379,STLTECH
380,NETWORK18
381,HSCL
382,DHAMPURSUG
383,DLINKINDIA
384,PROZONINTU
385,GABRIEL
386,ELECTHERM
387,VBL
388,PENIND
389,CHAMBLFERT
390,RVNL
391,KCPSUGIND
392,ANKITMETAL
393,POLYPLEX
394,VIKASECO
395,JSWISPL
396,MOIL
397,PRINCEPIPE
398,POWERINDIA
399,SWSOLAR
400,AURUM
401,ASHOKA
402,RELINFRA
403,BALMLAWRIE
404,CHOLAFIN
405,HAL
406,XCHANGING
407,LALPATHLAB
408,COFFEEDAY
409,GRAVITA
410,GREENPANEL
411,GREAVESCOT
412,HINDZINC
413,PRIVISCL
414,TIINDIA
415,STOVEKRAFT
416,STEELXIND
417,MANAKSIA
418,PFC
419,ICICIPRULI
420,CUMMINSIND
